publication_year,original_title,authors,one_star_reviews,two_star_reviews,three_star_reviews,four_star_reviews,five_star_reviews
2008.0,The Hunger Games,Suzanne Collins,66715,127936,560092,1481305,2706317
1997.0,Harry Potter and the Philosopher's Stone,"J.K. Rowling, Mary GrandPré",75504,101676,455024,1156318,3011543
2005.0,Twilight,Stephenie Meyer,456191,436802,793319,875073,1355439
1960.0,To Kill a Mockingbird,Harper Lee,60427,117415,446835,1001952,1714267
1925.0,The Great Gatsby,F. Scott Fitzgerald,86236,197621,606158,936012,947718
2012.0,The Fault in Our Stars,John Green,47994,92723,327550,698471,1311871
1937.0,The Hobbit or There and Back Again,J.R.R. Tolkien,46023,76784,288649,665635,1119718
1951.0,The Catcher in the Rye,J.D. Salinger,109383,185520,455042,661516,709176
2000.0,Angels & Demons ,Dan Brown,77841,145740,458429,716569,680175
1813.0,Pride and Prejudice,Jane Austen,54700,86485,284852,609755,1155673
2003.0,The Kite Runner ,Khaled Hosseini,34288,59980,226062,628174,929591
2011.0,Divergent,Veronica Roth,36315,82870,310297,673028,1114304
1949.0,Nineteen Eighty-Four,"George Orwell, Erich Fromm, Celâl Üster",41845,86425,324874,692021,908229
1945.0,Animal Farm: A Fairy Story,George Orwell,66854,135147,433432,698642,648912
1947.0,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",45225,91270,355756,656870,875372
2005.0,Män som hatar kvinnor,"Stieg Larsson, Reg Keeland",54835,86051,285413,667485,836050
2009.0,Catching Fire,Suzanne Collins,10492,48030,262010,687238,980309
1999.0,Harry Potter and the Prisoner of Azkaban,"J.K. Rowling, Mary GrandPré, Rufus Beck",6716,20413,166129,509447,1266670
1954.0, The Fellowship of the Ring,J.R.R. Tolkien,38031,55862,202332,493922,1042394
2010.0,Mockingjay,Suzanne Collins,30144,110498,373060,618271,738775
2003.0,Harry Potter and the Order of the Phoenix,"J.K. Rowling, Mary GrandPré",9528,31577,180210,494427,1124806
2002.0,The Lovely Bones,Alice Sebold,62777,131188,404699,583575,479323
1998.0,Harry Potter and the Chamber of Secrets,"J.K. Rowling, Mary GrandPré",8253,42251,242345,548266,1065084
2000.0,Harry Potter and the Goblet of Fire,"J.K. Rowling, Mary GrandPré",6676,20210,151785,494926,1195045
2007.0,Harry Potter and the Deathly Hallows,"J.K. Rowling, Mary GrandPré",9363,22245,113646,383914,1318227
2003.0,The Da Vinci Code,Dan Brown,71345,126493,340790,539277,479387
2005.0,Harry Potter and the Half-Blood Prince,"J.K. Rowling, Mary GrandPré",7308,21516,136333,459028,1161491
1954.0,Lord of the Flies ,William Golding,92779,160295,425648,564916,427846
1595.0,An Excellent conceited Tragedie of Romeo and Juliet,"William Shakespeare, Robert           Jackson",57980,153179,452673,519822,489235
2012.0,Gone Girl,Gillian Flynn,38874,80807,280331,616031,610476
2009.0,The Help,Kathryn Stockett,10235,25117,134887,490754,942552
1937.0,Of Mice and Men ,John Steinbeck,46630,110856,355169,532291,473795
1997.0,Memoirs of a Geisha,Arthur Golden,23500,59033,258700,517157,559782
2011.0,Fifty Shades of Grey,E.L. James,165455,152293,252185,294976,571909
1988.0,O Alquimista,"Paulo Coelho, Alan R. Clarke",74846,123614,289143,412180,504212
1993.0,The Giver,Lois Lowry,26497,59652,225326,448691,585279
1950.0,"The Lion, the Witch and the Wardrobe",C.S. Lewis,19309,55542,262038,513366,734629
2003.0,The Time Traveler's Wife,Audrey Niffenegger,44339,85429,257805,427210,493884
1996.0,A Game of Thrones,George R.R. Martin,19988,28983,114092,404583,874574
2006.0,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",Elizabeth Gilbert,100373,149549,310212,332191,314272
2005.0,The Lightning Thief,Rick Riordan,18303,48294,219638,435514,689365
1868.0,Little Women,Louisa May Alcott,31645,70011,250794,426280,535563
1847.0,Jane Eyre,"Charlotte Brontë, Michael Mason",35132,64274,212294,400214,574221
1996.0,The Notebook,Nicholas Sparks,41395,63432,176469,298259,497194
2001.0,Life of Pi,Yann Martel,39768,74331,218702,384164,360466
2006.0,Water for Elephants,Sara Gruen,16705,49832,200154,417328,424820
2005.0,The Book Thief,Markus Zusak,17892,35360,135272,377218,722056
1953.0,Fahrenheit 451,Ray Bradbury,28366,64289,238242,426292,419051
2006.0,"New Moon (Twilight, #2)",Stephenie Meyer,102837,160660,294207,290612,350684
1974.0,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,Shel Silverstein,16590,30792,139024,293222,544153
2007.0,City of Bones,Cassandra Clare,34122,65349,203466,356048,582814
2007.0,Eclipse,Stephenie Meyer,83094,124293,260763,309358,399134
2002.0,Eragon,Christopher Paolini,50563,88536,240157,337943,408032
1979.0,The Hitchhiker's Guide to the Galaxy,Douglas Adams,21764,41962,145173,299579,498001
1932.0,Brave New World,Aldous Huxley,26367,60328,219895,389379,383166
2008.0,Breaking Dawn,Stephenie Meyer,100994,114893,213402,267706,410714
2001.0,The Secret Life of Bees,Sue Monk Kidd,17500,45455,185631,347540,341267
1884.0,The Adventures of Huckleberry Finn,"Mark Twain, John Seelye, Guy Cardwell",28467,76630,255722,344356,296316
1952.0,Charlotte's Web,"E.B. White, Garth Williams, Rosemary Wells",18450,41124,191415,346090,487763
2003.0,The Curious Incident of the Dog in the Night-Time,Mark Haddon,21049,58117,218218,355925,262481
2015.0,The Girl on the Train,Paula Hawkins,27773,73897,273817,488447,362551
1995.0,Northern Lights,Philip Pullman,38382,64591,198764,313147,380030
1847.0,Wuthering Heights,"Emily Brontë, Richard J. Dunn",46469,84084,215320,309180,346082
2004.0,My Sister's Keeper,Jodi Picoult,17547,42763,162573,314003,350994
